id,idx,expected,pred,level,ok,error,query
Q0071,1,1,1,MICRO,1,,"After the crash, why was Vehicle 4 picked over Vehicle 1 at request 4?"
Q0076,2,1,1,MICRO,1,,Why was Vehicle 4 chosen over Vehicle 3 at request 5 after the accident affected the route?
Q0096,3,1,1,MICRO,1,,"After the accident, why was V0 given request 6 over V1?"
Q0721,4,1,1,MICRO,1,,"Given the accident, why was the nearest vehicle not picked for request 4 at epoch 4?"
Q0851,5,1,1,MICRO,1,,"After the accident, how do V4 and V3 compare on delay risk at request 5?"
Q0861,6,1,1,MICRO,1,,Compare V0 and V1 on delay and reward at request 6 after the accident.
Q0871,7,1,1,MICRO,1,,"At request 7 after the accident, how does V1 stack up against V2 on risk?"
Q0881,8,1,1,MICRO,1,,"Post-accident, compare V1 and V3 on delay risk at request 8."
Q0886,9,1,1,MICRO,1,,"Given the road blockage, how do V0 and V1 compare on reward at request 9?"
Q0976,10,1,1,MICRO,1,,Why did the dispatcher assign a more distant van for request 10 after the accident?
Q0021,11,1,1,MICRO,1,,Why was Vehicle 4 picked over Vehicle 0 at request 1?
Q0036,12,1,1,MICRO,1,,Why did Vehicle 4 get request 2 instead of Vehicle 0?
Q0686,13,1,1,MICRO,1,,"At epoch 3, why didn't the closest vehicle get request 3?"
Q0701,14,1,1,MICRO,1,,"Under this traffic, why didn't the closest vehicle handle request 4 at epoch 4?"
Q0811,15,1,1,MICRO,1,,How do Vehicle 0 and Vehicle 4 compare on delay risk at request 5?
Q0931,16,1,1,MICRO,1,,Why was a farther vehicle chosen at request 6?
Q0941,17,1,1,MICRO,1,,Why did the dispatcher choose a farther van over a closer one at request 7?
Q0956,18,1,1,MICRO,1,,"At request 8, why was the farther vehicle selected?"
Q0961,19,1,1,MICRO,1,,Why did the system go with a farther van for request 9?
Q1401,20,1,1,MICRO,1,,"At request 10, why wasn't the closest vehicle assigned?"
Q0101,21,1,1,MICRO,1,,"During the event, why was Vehicle 3 chosen over Vehicle 1 for request 4?"
Q0111,22,1,1,MICRO,1,,"During the stadium event, why was V2 assigned request 5 and not V0?"
Q0766,23,1,1,MICRO,1,,Why didn't the closest vehicle get request 6 at epoch 6 with the concert on?
Q0786,24,1,1,MICRO,1,,Why wasn't the closest vehicle chosen for request 4 at epoch 4 during the event?
Q0896,25,1,1,MICRO,1,,"With event congestion, how does V2 compare to V0 at request 5?"
Q0911,26,1,1,MICRO,1,,"Given the stadium event, how does V0 stack up against V3 at request 6?"
Q0916,27,1,1,MICRO,1,,"At request 7 with the event, compare Vehicle 0 and Vehicle 1 on risk."
Q0921,28,1,1,MICRO,1,,"During the event, what's the risk comparison between V1 and V0 for request 8?"
Q0926,29,1,1,MICRO,1,,"Given the event delays, how do V1 and V0 compare on delay at request 9?"
Q1041,30,1,1,MICRO,1,,"During event-induced delays, why was a farther vehicle picked for request 10?"
Q0201,31,2,2,MICRO,1,,"After the accident at epoch 4, which vehicle is most reliable?"
Q0206,32,2,2,MICRO,1,,"At epoch 5, once the accident hit, which vehicle is most reliable?"
Q0211,33,2,2,MICRO,1,,Which vehicle is most reliable at epoch 6 given the accident?
Q0216,34,2,2,MICRO,1,,"After the road blockage at epoch 4, which vehicle is most reliable?"
Q0221,35,2,2,MICRO,1,,"At epoch 5 after the crash, which van offers the most reliable service?"
Q0226,36,2,2,MICRO,1,,"With the travel times spiked by the accident, which vehicle is most reliable at epoch 6?"
Q0231,37,2,2,MICRO,1,,"At epoch 7 post-accident, which vehicle is the most reliable?"
Q0236,38,2,2,MICRO,1,,"After the accident, which vehicle offers the most dependable service at epoch 8?"
Q0241,39,2,2,MICRO,1,,Which vehicle is most reliable at epoch 9 once travel times stabilized after the crash?
Q0246,40,2,2,MICRO,1,,"At epoch 10 after the road closure, which vehicle is most reliable?"
Q0151,41,2,2,MICRO,1,,"At epoch 1, which vehicle is most reliable?"
Q0156,42,2,2,MICRO,1,,"At epoch 2, which vehicle offers the most dependable service?"
Q0161,43,2,2,MICRO,1,,Which vehicle has the best reliability at epoch 3?
Q0166,44,2,2,MICRO,1,,"At epoch 4, which vehicle is performing most reliably?"
Q0171,45,2,2,MICRO,1,,"Under this traffic, which vehicle is most reliable at epoch 5?"
Q0176,46,2,2,MICRO,1,,"At epoch 6, which vehicle has the best service reliability?"
Q0181,47,2,2,MICRO,1,,Which vehicle is most dependable at epoch 7?
Q0186,48,2,2,MICRO,1,,"At epoch 8, which vehicle's service is most reliable?"
Q0191,49,2,2,MICRO,1,,"At epoch 9, which vehicle is the most reliable option?"
Q0196,50,2,2,MICRO,1,,"Under these traffic conditions at epoch 10, which vehicle is most reliable?"
Q0251,51,2,2,MICRO,1,,"During the event at epoch 4, which vehicle is most reliable?"
Q0256,52,2,2,MICRO,1,,"Once the concert started at epoch 5, which vehicle offers the most reliable service?"
Q0261,53,2,2,MICRO,1,,"During the stadium event at epoch 6, which vehicle is most reliable?"
Q0266,54,2,2,MICRO,1,,"At epoch 4 during the event, which vehicle is most reliable?"
Q0271,55,2,2,MICRO,1,,"With event congestion at epoch 5, which vehicle is most reliable?"
Q0276,56,2,2,MICRO,1,,"At epoch 6 during the event, which van offers the most dependable service?"
Q0281,57,2,2,MICRO,1,,Which vehicle is most reliable at epoch 7 while the event is ongoing?
Q0286,58,2,2,MICRO,1,,"During the game traffic at epoch 8, which vehicle is most reliable?"
Q0291,59,2,2,MICRO,1,,"With the event happening at epoch 9, which vehicle offers the best reliability?"
Q0296,60,2,2,MICRO,1,,"At epoch 10 once the event peaked, which vehicle is most reliable?"
Q0341,61,3,3,MICRO,1,,"After the accident, why was carpooling started for request 4 at epoch 4?"
Q0346,62,3,3,MICRO,1,,Why did the system avoid carpooling request 5 at epoch 5 after the accident?
Q0351,63,3,3,MICRO,1,,"At epoch 6, once the road was blocked, why was request 6 put into a carpool?"
Q0356,64,3,3,MICRO,1,,Why avoid carpooling request 4 at epoch 4 after the accident?
Q0361,65,3,3,MICRO,1,,Why was request 5 carpooled at epoch 5 once travel times spiked?
Q0366,66,3,3,MICRO,1,,"After the crash, why did the dispatcher avoid pooling request 6 at epoch 6?"
Q0371,67,3,3,MICRO,1,,"At epoch 7 after the accident, why was request 7 added to a carpool?"
Q0376,68,3,3,MICRO,1,,Why did the system avoid carpooling request 8 at epoch 8 after the crash?
Q1411,69,3,3,MICRO,1,,"After the crash at epoch 9, why was it carpooled?"
Q1501,70,3,3,MICRO,1,,"After the accident, why wasn't request 10 added to a carpool at epoch 10?"
Q0301,71,3,3,MICRO,1,,"At epoch 1, why did the dispatcher avoid carpooling for request 1?"
Q0306,72,3,3,MICRO,1,,"At epoch 2, why was request 2 assigned to carpool?"
Q0311,73,3,3,MICRO,1,,Why did the system avoid pooling request 3 at epoch 3?
Q0316,74,3,3,MICRO,1,,"At epoch 4, why was carpooling started for request 4?"
Q0321,75,3,3,MICRO,1,,"At epoch 5, why did the dispatcher avoid carpooling request 5?"
Q0326,76,3,3,MICRO,1,,"At epoch 6, why was request 6 put into a carpool?"
Q0331,77,3,3,MICRO,1,,Why did the dispatcher not pool request 7 at epoch 7?
Q0336,78,3,3,MICRO,1,,"At epoch 8, why was request 8 carpooled?"
Q1506,79,3,3,MICRO,1,,"At epoch 9, why was request 9 added to a carpool?"
Q1511,80,3,3,MICRO,1,,"At epoch 10, why wasn't request 10 placed into a carpool?"
Q0381,81,3,3,MICRO,1,,"During the event, why was carpooling started for request 4 at epoch 4?"
Q0386,82,3,3,MICRO,1,,Why did the system avoid pooling request 5 at epoch 5 during the concert?
Q0391,83,3,3,MICRO,1,,"At epoch 6 during the stadium event, why was request 6 carpooled?"
Q0396,84,3,3,MICRO,1,,Why was request 4 not pooled at epoch 4 during the event?
Q0401,85,3,3,MICRO,1,,Why was carpooling started for request 5 at epoch 5 given the event congestion?
Q0406,86,3,3,MICRO,1,,"During the event, why wasn't request 6 carpooled at epoch 6?"
Q0411,87,3,3,MICRO,1,,"At epoch 7 during the event, why was request 7 put into a carpool?"
Q0416,88,3,3,MICRO,1,,Why did the dispatcher avoid pooling request 8 at epoch 8 during the concert traffic?
Q1516,89,3,3,MICRO,1,,"During the event at epoch 9, why was request 9 carpooled?"
Q1521,90,3,3,MICRO,1,,"With the event on at epoch 10, why wasn't request 10 carpooled?"
Q0461,91,4,4,SEQUENCE,1,,"After the accident, when does the dispatcher stop being overly pessimistic?"
Q0466,92,4,4,SEQUENCE,1,,At what epoch after the accident does the system re-calibrate away from over-caution?
Q0471,93,4,4,SEQUENCE,1,,"Once the accident happened, when does the dispatcher stop being too cautious?"
Q0476,94,4,4,SEQUENCE,1,,When does the dispatcher stop being too pessimistic after travel times change?
Q0481,95,4,4,SEQUENCE,1,,"Post-accident, at what epoch does the system regain confidence?"
Q0486,96,4,4,SEQUENCE,1,,"After the accident, when does the dispatcher stop over-hedging?"
Q0491,97,4,4,SEQUENCE,1,,"After the crash, when does the dispatcher's over-conservatism resolve?"
Q0496,98,4,4,SEQUENCE,1,,At what epoch after the accident does the dispatcher's over-pessimism end?
Q1386,99,4,4,SEQUENCE,1,,"After the accident, when does the dispatcher start being confident again?"
Q1526,100,4,4,SEQUENCE,1,,"After the accident, at what epoch does the dispatcher return to normal?"
Q0421,101,4,4,SEQUENCE,1,,At what epoch does the dispatcher stop being overly pessimistic?
Q0426,102,4,4,SEQUENCE,1,,When does the dispatcher stop being overly cautious in its estimates?
Q0431,103,4,4,SEQUENCE,1,,At what point does the dispatcher start making more optimistic assignments?
Q0436,104,4,-1,,0,,At what epoch does the dispatcher start behaving less conservatively?
Q0441,105,4,4,SEQUENCE,1,,When in the run does the dispatcher calm down from its overly pessimistic behavior?
Q0446,106,4,4,SEQUENCE,1,,When does the dispatcher start making the kind of assignments we'd expect?
Q0451,107,4,4,SEQUENCE,1,,At what epoch does the dispatcher stop over-avoiding risk?
Q0456,108,4,4,SEQUENCE,1,,"Under current traffic, when does the dispatcher stop being overly pessimistic?"
Q1531,109,4,4,SEQUENCE,1,,When does the dispatcher stop being overly cautious about its estimates?
Q1536,110,4,4,SEQUENCE,1,,At what point does the dispatcher stop overestimating risk?
Q0501,111,4,4,SEQUENCE,1,,"During the event, when does the dispatcher stop being overly pessimistic?"
Q0506,112,4,4,SEQUENCE,1,,"After the event starts, when does the dispatcher stop over-avoiding risk?"
Q0511,113,4,4,SEQUENCE,1,,At what epoch during the event does the dispatcher's pessimism resolve?
Q0516,114,4,4,SEQUENCE,1,,"Once the concert started, when does the dispatcher calm down?"
Q0521,115,4,4,SEQUENCE,1,,"During the event, at what epoch does the dispatcher recalibrate?"
Q0526,116,4,4,SEQUENCE,1,,When does the system stop being overly pessimistic after event-induced congestion?
Q0531,117,4,4,SEQUENCE,1,,When does the dispatcher begin behaving normally again during the event?
Q0536,118,4,4,SEQUENCE,1,,"Under the event's congestion, when does the over-pessimism end?"
Q1541,119,4,4,SEQUENCE,1,,"During the event, at what epoch does the dispatcher recover from extra caution?"
