id	query
Q0071	After the crash, why was Vehicle 4 picked over Vehicle 1 at request 4?
Q0076	Why was Vehicle 4 chosen over Vehicle 3 at request 5 after the accident affected the route?
Q0096	After the accident, why was V0 given request 6 over V1?
Q0721	Given the accident, why was the nearest vehicle not picked for request 4 at epoch 4?
Q0851	After the accident, how do V4 and V3 compare on delay risk at request 5?
Q0861	Compare V0 and V1 on delay and reward at request 6 after the accident.
Q0871	At request 7 after the accident, how does V1 stack up against V2 on risk?
Q0881	Post-accident, compare V1 and V3 on delay risk at request 8.
Q0886	Given the road blockage, how do V0 and V1 compare on reward at request 9?
Q0976	Why did the dispatcher assign a more distant van for request 10 after the accident?
Q0021	Why was Vehicle 4 picked over Vehicle 0 at request 1?
Q0036	Why did Vehicle 4 get request 2 instead of Vehicle 0?
Q0686	At epoch 3, why didn't the closest vehicle get request 3?
Q0701	Under this traffic, why didn't the closest vehicle handle request 4 at epoch 4?
Q0811	How do Vehicle 0 and Vehicle 4 compare on delay risk at request 5?
Q0931	Why was a farther vehicle chosen at request 6?
Q0941	Why did the dispatcher choose a farther van over a closer one at request 7?
Q0956	At request 8, why was the farther vehicle selected?
Q0961	Why did the system go with a farther van for request 9?
Q1401	At request 10, why wasn't the closest vehicle assigned?
Q0101	During the event, why was Vehicle 3 chosen over Vehicle 1 for request 4?
Q0111	During the stadium event, why was V2 assigned request 5 and not V0?
Q0766	Why didn't the closest vehicle get request 6 at epoch 6 with the concert on?
Q0786	Why wasn't the closest vehicle chosen for request 4 at epoch 4 during the event?
Q0896	With event congestion, how does V2 compare to V0 at request 5?
Q0911	Given the stadium event, how does V0 stack up against V3 at request 6?
Q0916	At request 7 with the event, compare Vehicle 0 and Vehicle 1 on risk.
Q0921	During the event, what's the risk comparison between V1 and V0 for request 8?
Q0926	Given the event delays, how do V1 and V0 compare on delay at request 9?
Q1041	During event-induced delays, why was a farther vehicle picked for request 10?
Q0201	After the accident at epoch 4, which vehicle is most reliable?
Q0206	At epoch 5, once the accident hit, which vehicle is most reliable?
Q0211	Which vehicle is most reliable at epoch 6 given the accident?
Q0216	After the road blockage at epoch 4, which vehicle is most reliable?
Q0221	At epoch 5 after the crash, which van offers the most reliable service?
Q0226	With the travel times spiked by the accident, which vehicle is most reliable at epoch 6?
Q0231	At epoch 7 post-accident, which vehicle is the most reliable?
Q0236	After the accident, which vehicle offers the most dependable service at epoch 8?
Q0241	Which vehicle is most reliable at epoch 9 once travel times stabilized after the crash?
Q0246	At epoch 10 after the road closure, which vehicle is most reliable?
Q0151	At epoch 1, which vehicle is most reliable?
Q0156	At epoch 2, which vehicle offers the most dependable service?
Q0161	Which vehicle has the best reliability at epoch 3?
Q0166	At epoch 4, which vehicle is performing most reliably?
Q0171	Under this traffic, which vehicle is most reliable at epoch 5?
Q0176	At epoch 6, which vehicle has the best service reliability?
Q0181	Which vehicle is most dependable at epoch 7?
Q0186	At epoch 8, which vehicle's service is most reliable?
Q0191	At epoch 9, which vehicle is the most reliable option?
Q0196	Under these traffic conditions at epoch 10, which vehicle is most reliable?
Q0251	During the event at epoch 4, which vehicle is most reliable?
Q0256	Once the concert started at epoch 5, which vehicle offers the most reliable service?
Q0261	During the stadium event at epoch 6, which vehicle is most reliable?
Q0266	At epoch 4 during the event, which vehicle is most reliable?
Q0271	With event congestion at epoch 5, which vehicle is most reliable?
Q0276	At epoch 6 during the event, which van offers the most dependable service?
Q0281	Which vehicle is most reliable at epoch 7 while the event is ongoing?
Q0286	During the game traffic at epoch 8, which vehicle is most reliable?
Q0291	With the event happening at epoch 9, which vehicle offers the best reliability?
Q0296	At epoch 10 once the event peaked, which vehicle is most reliable?
Q0341	After the accident, why was carpooling started for request 4 at epoch 4?
Q0346	Why did the system avoid carpooling request 5 at epoch 5 after the accident?
Q0351	At epoch 6, once the road was blocked, why was request 6 put into a carpool?
Q0356	Why avoid carpooling request 4 at epoch 4 after the accident?
Q0361	Why was request 5 carpooled at epoch 5 once travel times spiked?
Q0366	After the crash, why did the dispatcher avoid pooling request 6 at epoch 6?
Q0371	At epoch 7 after the accident, why was request 7 added to a carpool?
Q0376	Why did the system avoid carpooling request 8 at epoch 8 after the crash?
Q1411	After the crash at epoch 9, why was it carpooled?
Q1501	After the accident, why wasn't request 10 added to a carpool at epoch 10?
Q0301	At epoch 1, why did the dispatcher avoid carpooling for request 1?
Q0306	At epoch 2, why was request 2 assigned to carpool?
Q0311	Why did the system avoid pooling request 3 at epoch 3?
Q0316	At epoch 4, why was carpooling started for request 4?
Q0321	At epoch 5, why did the dispatcher avoid carpooling request 5?
Q0326	At epoch 6, why was request 6 put into a carpool?
Q0331	Why did the dispatcher not pool request 7 at epoch 7?
Q0336	At epoch 8, why was request 8 carpooled?
Q1506	At epoch 9, why was request 9 added to a carpool?
Q1511	At epoch 10, why wasn't request 10 placed into a carpool?
Q0381	During the event, why was carpooling started for request 4 at epoch 4?
Q0386	Why did the system avoid pooling request 5 at epoch 5 during the concert?
Q0391	At epoch 6 during the stadium event, why was request 6 carpooled?
Q0396	Why was request 4 not pooled at epoch 4 during the event?
Q0401	Why was carpooling started for request 5 at epoch 5 given the event congestion?
Q0406	During the event, why wasn't request 6 carpooled at epoch 6?
Q0411	At epoch 7 during the event, why was request 7 put into a carpool?
Q0416	Why did the dispatcher avoid pooling request 8 at epoch 8 during the concert traffic?
Q1516	During the event at epoch 9, why was request 9 carpooled?
Q1521	With the event on at epoch 10, why wasn't request 10 carpooled?
Q0461	After the accident, when does the dispatcher stop being overly pessimistic?
Q0466	At what epoch after the accident does the system re-calibrate away from over-caution?
Q0471	Once the accident happened, when does the dispatcher stop being too cautious?
Q0476	When does the dispatcher stop being too pessimistic after travel times change?
Q0481	Post-accident, at what epoch does the system regain confidence?
Q0486	After the accident, when does the dispatcher stop over-hedging?
Q0491	After the crash, when does the dispatcher's over-conservatism resolve?
Q0496	At what epoch after the accident does the dispatcher's over-pessimism end?
Q1386	After the accident, when does the dispatcher start being confident again?
Q1526	After the accident, at what epoch does the dispatcher return to normal?
Q0421	At what epoch does the dispatcher stop being overly pessimistic?
Q0426	When does the dispatcher stop being overly cautious in its estimates?
Q0431	At what point does the dispatcher start making more optimistic assignments?
Q0436	At what epoch does the dispatcher start behaving less conservatively?
Q0441	When in the run does the dispatcher calm down from its overly pessimistic behavior?
Q0446	When does the dispatcher start making the kind of assignments we'd expect?
Q0451	At what epoch does the dispatcher stop over-avoiding risk?
Q0456	Under current traffic, when does the dispatcher stop being overly pessimistic?
Q1531	When does the dispatcher stop being overly cautious about its estimates?
Q1536	At what point does the dispatcher stop overestimating risk?
Q0501	During the event, when does the dispatcher stop being overly pessimistic?
Q0506	After the event starts, when does the dispatcher stop over-avoiding risk?
Q0511	At what epoch during the event does the dispatcher's pessimism resolve?
Q0516	Once the concert started, when does the dispatcher calm down?
Q0521	During the event, at what epoch does the dispatcher recalibrate?
Q0526	When does the system stop being overly pessimistic after event-induced congestion?
Q0531	When does the dispatcher begin behaving normally again during the event?
Q0536	Under the event's congestion, when does the over-pessimism end?
Q1541	During the event, at what epoch does the dispatcher recover from extra caution?
Q1546	At what epoch does the dispatcher stabilize after the event begins?
Q0581	After the accident, how confident is the dispatcher about Vehicle 4 at epoch 4?
Q0586	Given the accident, how confident is the system about Vehicle 4 at epoch 5?
Q0591	At epoch 6 after the crash, how confident is the dispatcher in V0?
Q0596	Post-accident, how confident is the dispatcher about V4 at epoch 4?
Q0601	How confident is the dispatcher about assigning Vehicle 4 at epoch 5 given the blockage?
Q0606	At epoch 6 after the accident, how confident is the system about V0?
Q0611	Given the accident, how sure is the dispatcher about V1 at epoch 7?
Q0616	Once travel times spiked, how confident is the dispatcher about V1 at epoch 8?
Q1551	After the accident, how confident is the dispatcher about assigning Vehicle 0 at epoch 9?
Q1556	After the crash, how confident is the system about its Vehicle 0 assignment at epoch 10?
Q0541	At epoch 1, how confident is the dispatcher about assigning Vehicle 4?
Q0546	At epoch 2, how confident is the system about its Vehicle 4 assignment?
Q0551	How confident is the dispatcher about Vehicle 4 at epoch 3?
Q0556	At epoch 4, how sure is the dispatcher about assigning V4?
Q0561	Under this traffic, how confident is the dispatcher about Vehicle 0 at epoch 5?
Q0566	At epoch 6, how confident is the dispatcher about Vehicle 3?
Q0571	How confident is the system about assigning Vehicle 0 at epoch 7?
Q0576	At epoch 8, how confident is the dispatcher in its assignment of V0?
Q1391	At epoch 8, how confident is the dispatcher?
Q1561	At epoch 10, how confident is the system about Vehicle 0?
Q0621	During the event, how confident is the dispatcher about Vehicle 3 at epoch 4?
Q0626	At epoch 5 during the concert, how sure is the system about Vehicle 2?
Q0631	With the event congestion, how confident is the dispatcher about V0 at epoch 6?
Q0636	At epoch 4 during the stadium event, how confident is the system about V3?
Q0641	Given the event, how sure is the dispatcher about Vehicle 2 at epoch 5?
Q0646	During the event, how confident is the system about V0 at epoch 6?
Q0651	At epoch 7 with the event ongoing, how confident is the dispatcher about V0?
Q0656	Once the event peaked, how sure is the dispatcher about Vehicle 1 at epoch 8?
Q1566	During the event, how confident is the dispatcher about Vehicle 1 at epoch 9?
Q1571	At epoch 10 during the event, how sure is the system about Vehicle 3?
Q1051	How did the event affect assignment at epoch 4?
Q1056	At epoch 5, how did the event change the assignment decision?
Q1061	What effect did the event have on assignment at epoch 6?
Q1066	How did the stadium event change the assignment at epoch 4?
Q1071	At epoch 5, how was the assignment shaped by the event?
Q1076	Once the concert started, how did it affect the assignment at epoch 6?
Q1081	How did the event influence assignment at epoch 7?
Q1086	At epoch 8, how did event-induced congestion impact the assignment?
Q1091	How did the event's impact change what vehicle was chosen at epoch 9?
Q1096	What effect did the event have on the assignment outcome at epoch 10?
Q1101	At epoch 4, how did the event shift which vehicle got assigned?
Q1106	How did the event's congestion change the assignment at epoch 5?
Q1111	During the event, how was the assignment at epoch 6 different?
Q1116	How did event congestion play into the assignment at epoch 4?
Q1121	What was the event's impact on the assignment at epoch 5?
Q1126	At epoch 6, once the event peaked, how did it affect assignment?
Q1131	During the stadium event, how was the assignment at epoch 7 different?
Q1136	How did event-driven traffic reshape the assignment at epoch 8?
Q1141	How did the event affect which vehicle was picked at epoch 9?
Q1146	At epoch 10, how did the event change the dispatcher's behavior?
Q1396	At epoch 4 during the event, how much did congestion from the event change the assignment?
Q1576	At epoch 5, what impact did the event have on the assignment?
Q1581	At epoch 6, how did event congestion reshape the assignment?
Q1586	At epoch 4, how did the event's onset shift the assignment?
Q1591	How did the stadium event change the assignment at epoch 5?
Q1596	At epoch 6, how did event-driven congestion affect the assignment decision?
Q1601	At epoch 7, how did the event's impact reshape vehicle selection?
Q1606	How did concert traffic alter the assignment at epoch 8?
Q1611	At epoch 9, how did the event shape the assignment outcome?
Q1616	At epoch 10, how did the event reshape the assignment decision?
Q1271	At event epoch 4, how much does congestion affect assigned timing?
Q1276	How much delay does event congestion add to assigned timing at epoch 5?
Q1281	At epoch 6 during the event, how much does congestion slow the assigned vehicle?
Q1286	How big is the congestion impact on assigned timing at event epoch 4?
Q1291	During the event, how much extra time does congestion add at epoch 5?
Q1296	At event epoch 6, how much does congestion lengthen the assigned vehicle's timing?
Q1301	How much does congestion from the event delay assigned timing at epoch 7?
Q1306	During the event at epoch 8, how much does congestion push back assigned timing?
Q1311	At event epoch 9, how much does traffic congestion affect the assigned vehicle's timing?
Q1316	How large is congestion's effect on assigned timing at event epoch 10?
Q1321	At event epoch 4, how much does the event's congestion slow the assigned van?
Q1326	During the event, how much does congestion extend assigned pickup/dropoff timing at epoch 5?
Q1331	How much of the assigned vehicle's delay comes from event congestion at epoch 6?
Q1336	At event epoch 4, how much does congestion hurt assigned timing?
Q1341	During the event at epoch 5, how much additional delay does congestion cause for the assigned vehicle?
Q1346	How much does event-induced congestion slow the assigned vehicle at epoch 6?
Q1351	At event epoch 7, how much does congestion add to assigned travel time?
Q1356	How much does congestion stretch assigned vehicle timing at event epoch 8?
Q1361	At event epoch 9, how much does congestion impact the assigned vehicle's pickup time?
Q1366	During the event's peak at epoch 10, how much does congestion delay the assigned van?
Q1621	At event epoch 4, how much delay does congestion cause for assigned timing?
Q1626	How much does event congestion slow the assigned vehicle at epoch 5?
Q1631	At epoch 6, how much extra travel time does event congestion add to the assigned?
Q1636	How much additional delay does the event bring to assigned timing at epoch 4?
Q1641	At event epoch 5, what's the congestion impact on assigned timing?
Q1646	How long does event congestion delay the assigned vehicle at epoch 6?
Q1651	At epoch 7, how much is assigned timing affected by event congestion?
Q1656	How much extra time does event congestion add to assigned service at epoch 8?
Q1661	At event epoch 9, how much delay comes from congestion for the assigned vehicle?
Q1666	How much slower is the assigned vehicle due to event congestion at epoch 10?
Q1191	At request 4 after the crash, how do traffic and route burden affect assigned vs closest timing?
Q1196	Given the accident, how do traffic and route load impact assigned vs closest timing at request 5?
Q1201	After the accident, at request 6, how do traffic and route burden shape the gap in assigned vs closest timing?
Q1206	With travel times spiked, at request 4, how do traffic and route burden affect assigned vs closest timing?
Q1211	At request 5 post-accident, how do traffic and route burden affect assigned vs closest timing?
