id	query
Q0071	After the crash, why was Vehicle 4 picked over Vehicle 1 at request 4?
Q0071_p1	Can you explain this dispatch decision: After the crash, why was Vehicle 4 picked over Vehicle 1 at request 4?
Q0071_p2	In operational terms, after the crash, why was Vehicle 4 picked over Vehicle 1 at request 4?
Q0071_p3	What is the reason behind this: After the crash, why was Vehicle 4 picked over Vehicle 1 at request 4?
Q0071_p4	Could you clarify the dispatch rationale here: After the crash, why was Vehicle 4 picked over Vehicle 1 at request 4?
Q0076	Why was Vehicle 4 chosen over Vehicle 3 at request 5 after the accident affected the route?
Q0076_p1	Can you explain this dispatch decision: Why was Vehicle 4 chosen over Vehicle 3 at request 5 after the accident affected the route?
Q0076_p2	In operational terms, why was Vehicle 4 chosen over Vehicle 3 at request 5 after the accident affected the route?
Q0076_p3	What is the reason behind this: Why was Vehicle 4 chosen over Vehicle 3 at request 5 after the accident affected the route?
Q0076_p4	Could you clarify the dispatch rationale here: Why was Vehicle 4 chosen over Vehicle 3 at request 5 after the accident affected the route?
Q0096	After the accident, why was V0 given request 6 over V1?
Q0096_p1	Can you explain this dispatch decision: After the accident, why was V0 given request 6 over V1?
Q0096_p2	In operational terms, after the accident, why was V0 given request 6 over V1?
Q0096_p3	What is the reason behind this: After the accident, why was V0 given request 6 over V1?
Q0096_p4	Could you clarify the dispatch rationale here: After the accident, why was V0 given request 6 over V1?
Q0721	Given the accident, why was the nearest vehicle not picked for request 4 at epoch 4?
Q0721_p1	Can you explain this dispatch decision: Given the accident, why was the nearest vehicle not picked for request 4 at epoch 4?
Q0721_p2	In operational terms, given the accident, why was the nearest vehicle not picked for request 4 at epoch 4?
Q0721_p3	What is the reason behind this: Given the accident, why was the nearest vehicle not picked for request 4 at epoch 4?
Q0721_p4	Could you clarify the dispatch rationale here: Given the accident, why was the nearest vehicle not picked for request 4 at epoch 4?
Q0851	After the accident, how do V4 and V3 compare on delay risk at request 5?
Q0851_p1	Can you explain this dispatch decision: After the accident, how do V4 and V3 compare on delay risk at request 5?
Q0851_p2	In operational terms, after the accident, how do V4 and V3 compare on delay risk at request 5?
Q0851_p3	What is the reason behind this: After the accident, how do V4 and V3 compare on delay risk at request 5?
Q0851_p4	Could you clarify the dispatch rationale here: After the accident, how do V4 and V3 compare on delay risk at request 5?
Q0861	Compare V0 and V1 on delay and reward at request 6 after the accident.
Q0861_p1	Can you explain this dispatch decision: Compare V0 and V1 on delay and reward at request 6 after the accident.
Q0861_p2	In operational terms, compare V0 and V1 on delay and reward at request 6 after the accident.
Q0861_p3	What is the reason behind this: Compare V0 and V1 on delay and reward at request 6 after the accident.
Q0861_p4	Could you clarify the dispatch rationale here: Compare V0 and V1 on delay and reward at request 6 after the accident.
Q0871	At request 7 after the accident, how does V1 stack up against V2 on risk?
Q0871_p1	Can you explain this dispatch decision: At request 7 after the accident, how does V1 stack up against V2 on risk?
Q0871_p2	In operational terms, at request 7 after the accident, how does V1 stack up against V2 on risk?
Q0871_p3	What is the reason behind this: At request 7 after the accident, how does V1 stack up against V2 on risk?
Q0871_p4	Could you clarify the dispatch rationale here: At request 7 after the accident, how does V1 stack up against V2 on risk?
Q0881	Post-accident, compare V1 and V3 on delay risk at request 8.
Q0881_p1	Can you explain this dispatch decision: Post-accident, compare V1 and V3 on delay risk at request 8.
Q0881_p2	In operational terms, post-accident, compare V1 and V3 on delay risk at request 8.
Q0881_p3	What is the reason behind this: Post-accident, compare V1 and V3 on delay risk at request 8.
Q0881_p4	Could you clarify the dispatch rationale here: Post-accident, compare V1 and V3 on delay risk at request 8.
Q0886	Given the road blockage, how do V0 and V1 compare on reward at request 9?
Q0886_p1	Can you explain this dispatch decision: Given the road blockage, how do V0 and V1 compare on reward at request 9?
Q0886_p2	In operational terms, given the road blockage, how do V0 and V1 compare on reward at request 9?
Q0886_p3	What is the reason behind this: Given the road blockage, how do V0 and V1 compare on reward at request 9?
Q0886_p4	Could you clarify the dispatch rationale here: Given the road blockage, how do V0 and V1 compare on reward at request 9?
Q0976	Why did the dispatcher assign a more distant van for request 10 after the accident?
Q0976_p1	Can you explain this dispatch decision: Why did the dispatcher assign a more distant van for request 10 after the accident?
Q0976_p2	In operational terms, why did the dispatcher assign a more distant van for request 10 after the accident?
Q0976_p3	What is the reason behind this: Why did the dispatcher assign a more distant van for request 10 after the accident?
Q0976_p4	Could you clarify the dispatch rationale here: Why did the dispatcher assign a more distant van for request 10 after the accident?
Q0021	Why was Vehicle 4 picked over Vehicle 0 at request 1?
Q0021_p1	Can you explain this dispatch decision: Why was Vehicle 4 picked over Vehicle 0 at request 1?
Q0021_p2	In operational terms, why was Vehicle 4 picked over Vehicle 0 at request 1?
Q0021_p3	What is the reason behind this: Why was Vehicle 4 picked over Vehicle 0 at request 1?
Q0021_p4	Could you clarify the dispatch rationale here: Why was Vehicle 4 picked over Vehicle 0 at request 1?
Q0036	Why did Vehicle 4 get request 2 instead of Vehicle 0?
Q0036_p1	Can you explain this dispatch decision: Why did Vehicle 4 get request 2 instead of Vehicle 0?
Q0036_p2	In operational terms, why did Vehicle 4 get request 2 instead of Vehicle 0?
Q0036_p3	What is the reason behind this: Why did Vehicle 4 get request 2 instead of Vehicle 0?
Q0036_p4	Could you clarify the dispatch rationale here: Why did Vehicle 4 get request 2 instead of Vehicle 0?
Q0686	At epoch 3, why didn't the closest vehicle get request 3?
Q0686_p1	Can you explain this dispatch decision: At epoch 3, why didn't the closest vehicle get request 3?
Q0686_p2	In operational terms, at epoch 3, why didn't the closest vehicle get request 3?
Q0686_p3	What is the reason behind this: At epoch 3, why didn't the closest vehicle get request 3?
Q0686_p4	Could you clarify the dispatch rationale here: At epoch 3, why didn't the closest vehicle get request 3?
Q0701	Under this traffic, why didn't the closest vehicle handle request 4 at epoch 4?
Q0701_p1	Can you explain this dispatch decision: Under this traffic, why didn't the closest vehicle handle request 4 at epoch 4?
Q0701_p2	In operational terms, under this traffic, why didn't the closest vehicle handle request 4 at epoch 4?
Q0701_p3	What is the reason behind this: Under this traffic, why didn't the closest vehicle handle request 4 at epoch 4?
Q0701_p4	Could you clarify the dispatch rationale here: Under this traffic, why didn't the closest vehicle handle request 4 at epoch 4?
Q0811	How do Vehicle 0 and Vehicle 4 compare on delay risk at request 5?
Q0811_p1	Can you explain this dispatch decision: How do Vehicle 0 and Vehicle 4 compare on delay risk at request 5?
Q0811_p2	In operational terms, how do Vehicle 0 and Vehicle 4 compare on delay risk at request 5?
Q0811_p3	What is the reason behind this: How do Vehicle 0 and Vehicle 4 compare on delay risk at request 5?
Q0811_p4	Could you clarify the dispatch rationale here: How do Vehicle 0 and Vehicle 4 compare on delay risk at request 5?
Q0931	Why was a farther vehicle chosen at request 6?
Q0931_p1	Can you explain this dispatch decision: Why was a farther vehicle chosen at request 6?
Q0931_p2	In operational terms, why was a farther vehicle chosen at request 6?
Q0931_p3	What is the reason behind this: Why was a farther vehicle chosen at request 6?
Q0931_p4	Could you clarify the dispatch rationale here: Why was a farther vehicle chosen at request 6?
Q0941	Why did the dispatcher choose a farther van over a closer one at request 7?
