query_id,type_k,scenario,query_text
Q0071,1,1,"After the crash, why was Vehicle 4 picked over Vehicle 1 at request 4?"
Q0076,1,1,Why was Vehicle 4 chosen over Vehicle 3 at request 5 after the accident affected the route?
Q0096,1,1,"After the accident, why was V0 given request 6 over V1?"
Q0721,1,1,"Given the accident, why was the nearest vehicle not picked for request 4 at epoch 4?"
Q0851,1,1,"After the accident, how do V4 and V3 compare on delay risk at request 5?"
Q0861,1,1,Compare V0 and V1 on delay and reward at request 6 after the accident.
Q0871,1,1,"At request 7 after the accident, how does V1 stack up against V2 on risk?"
Q0881,1,1,"Post-accident, compare V1 and V3 on delay risk at request 8."
Q0886,1,1,"Given the road blockage, how do V0 and V1 compare on reward at request 9?"
Q0976,1,1,Why did the dispatcher assign a more distant van for request 10 after the accident?
Q0021,1,0,Why was Vehicle 4 picked over Vehicle 0 at request 1?
Q0036,1,0,Why did Vehicle 4 get request 2 instead of Vehicle 0?
Q0686,1,0,"At epoch 3, why didn't the closest vehicle get request 3?"
Q0701,1,0,"Under this traffic, why didn't the closest vehicle handle request 4 at epoch 4?"
Q0811,1,0,How do Vehicle 0 and Vehicle 4 compare on delay risk at request 5?
Q0931,1,0,Why was a farther vehicle chosen at request 6?
Q0941,1,0,Why did the dispatcher choose a farther van over a closer one at request 7?
Q0956,1,0,"At request 8, why was the farther vehicle selected?"
Q0961,1,0,Why did the system go with a farther van for request 9?
Q1401,1,0,"At request 10, why wasn't the closest vehicle assigned?"
Q0101,1,2,"During the event, why was Vehicle 3 chosen over Vehicle 1 for request 4?"
Q0111,1,2,"During the stadium event, why was V2 assigned request 5 and not V0?"
Q0766,1,2,Why didn't the closest vehicle get request 6 at epoch 6 with the concert on?
Q0786,1,2,Why wasn't the closest vehicle chosen for request 4 at epoch 4 during the event?
Q0896,1,2,"With event congestion, how does V2 compare to V0 at request 5?"
Q0911,1,2,"Given the stadium event, how does V0 stack up against V3 at request 6?"
Q0916,1,2,"At request 7 with the event, compare Vehicle 0 and Vehicle 1 on risk."
Q0921,1,2,"During the event, what's the risk comparison between V1 and V0 for request 8?"
Q0926,1,2,"Given the event delays, how do V1 and V0 compare on delay at request 9?"
Q1041,1,2,"During event-induced delays, why was a farther vehicle picked for request 10?"
Q0201,2,1,"After the accident at epoch 4, which vehicle is most reliable?"
Q0206,2,1,"At epoch 5, once the accident hit, which vehicle is most reliable?"
Q0211,2,1,Which vehicle is most reliable at epoch 6 given the accident?
Q0216,2,1,"After the road blockage at epoch 4, which vehicle is most reliable?"
Q0221,2,1,"At epoch 5 after the crash, which van offers the most reliable service?"
Q0226,2,1,"With the travel times spiked by the accident, which vehicle is most reliable at epoch 6?"
Q0231,2,1,"At epoch 7 post-accident, which vehicle is the most reliable?"
Q0236,2,1,"After the accident, which vehicle offers the most dependable service at epoch 8?"
Q0241,2,1,Which vehicle is most reliable at epoch 9 once travel times stabilized after the crash?
Q0246,2,1,"At epoch 10 after the road closure, which vehicle is most reliable?"
Q0151,2,0,"At epoch 1, which vehicle is most reliable?"
Q0156,2,0,"At epoch 2, which vehicle offers the most dependable service?"
Q0161,2,0,Which vehicle has the best reliability at epoch 3?
Q0166,2,0,"At epoch 4, which vehicle is performing most reliably?"
Q0171,2,0,"Under this traffic, which vehicle is most reliable at epoch 5?"
Q0176,2,0,"At epoch 6, which vehicle has the best service reliability?"
Q0181,2,0,Which vehicle is most dependable at epoch 7?
Q0186,2,0,"At epoch 8, which vehicle's service is most reliable?"
Q0191,2,0,"At epoch 9, which vehicle is the most reliable option?"
Q0196,2,0,"Under these traffic conditions at epoch 10, which vehicle is most reliable?"
Q0251,2,2,"During the event at epoch 4, which vehicle is most reliable?"
Q0256,2,2,"Once the concert started at epoch 5, which vehicle offers the most reliable service?"
Q0261,2,2,"During the stadium event at epoch 6, which vehicle is most reliable?"
Q0266,2,2,"At epoch 4 during the event, which vehicle is most reliable?"
Q0271,2,2,"With event congestion at epoch 5, which vehicle is most reliable?"
Q0276,2,2,"At epoch 6 during the event, which van offers the most dependable service?"
Q0281,2,2,Which vehicle is most reliable at epoch 7 while the event is ongoing?
Q0286,2,2,"During the game traffic at epoch 8, which vehicle is most reliable?"
Q0291,2,2,"With the event happening at epoch 9, which vehicle offers the best reliability?"
Q0296,2,2,"At epoch 10 once the event peaked, which vehicle is most reliable?"
Q0341,3,1,"After the accident, why was carpooling started for request 4 at epoch 4?"
Q0346,3,1,Why did the system avoid carpooling request 5 at epoch 5 after the accident?
Q0351,3,1,"At epoch 6, once the road was blocked, why was request 6 put into a carpool?"
Q0356,3,1,Why avoid carpooling request 4 at epoch 4 after the accident?
Q0361,3,1,Why was request 5 carpooled at epoch 5 once travel times spiked?
Q0366,3,1,"After the crash, why did the dispatcher avoid pooling request 6 at epoch 6?"
Q0371,3,1,"At epoch 7 after the accident, why was request 7 added to a carpool?"
Q0376,3,1,Why did the system avoid carpooling request 8 at epoch 8 after the crash?
Q1411,3,1,"After the crash at epoch 9, why was it carpooled?"
Q1501,3,1,"After the accident, why wasn't request 10 added to a carpool at epoch 10?"
