id,idx,expected,pred,level,ok,error,query
Q0071,1,1,1,MICRO,1,,"After the crash, why was Vehicle 4 picked over Vehicle 1 at request 4?"
Q0071_p1,2,1,1,MICRO,1,,"Can you explain this dispatch decision: After the crash, why was Vehicle 4 picked over Vehicle 1 at request 4?"
Q0071_p2,3,1,1,MICRO,1,,"In operational terms, after the crash, why was Vehicle 4 picked over Vehicle 1 at request 4?"
Q0071_p3,4,1,1,MICRO,1,,"What is the reason behind this: After the crash, why was Vehicle 4 picked over Vehicle 1 at request 4?"
Q0071_p4,5,1,1,MICRO,1,,"Could you clarify the dispatch rationale here: After the crash, why was Vehicle 4 picked over Vehicle 1 at request 4?"
Q0076,6,1,1,MICRO,1,,Why was Vehicle 4 chosen over Vehicle 3 at request 5 after the accident affected the route?
Q0076_p1,7,1,1,MICRO,1,,Can you explain this dispatch decision: Why was Vehicle 4 chosen over Vehicle 3 at request 5 after the accident affected the route?
Q0076_p2,8,1,1,MICRO,1,,"In operational terms, why was Vehicle 4 chosen over Vehicle 3 at request 5 after the accident affected the route?"
Q0076_p3,9,1,1,MICRO,1,,What is the reason behind this: Why was Vehicle 4 chosen over Vehicle 3 at request 5 after the accident affected the route?
Q0076_p4,10,1,1,MICRO,1,,Could you clarify the dispatch rationale here: Why was Vehicle 4 chosen over Vehicle 3 at request 5 after the accident affected the route?
Q0096,11,1,1,MICRO,1,,"After the accident, why was V0 given request 6 over V1?"
Q0096_p1,12,1,1,MICRO,1,,"Can you explain this dispatch decision: After the accident, why was V0 given request 6 over V1?"
Q0096_p2,13,1,1,MICRO,1,,"In operational terms, after the accident, why was V0 given request 6 over V1?"
Q0096_p3,14,1,1,MICRO,1,,"What is the reason behind this: After the accident, why was V0 given request 6 over V1?"
Q0096_p4,15,1,1,MICRO,1,,"Could you clarify the dispatch rationale here: After the accident, why was V0 given request 6 over V1?"
Q0721,16,1,1,MICRO,1,,"Given the accident, why was the nearest vehicle not picked for request 4 at epoch 4?"
Q0721_p1,17,1,1,MICRO,1,,"Can you explain this dispatch decision: Given the accident, why was the nearest vehicle not picked for request 4 at epoch 4?"
Q0721_p2,18,1,1,MICRO,1,,"In operational terms, given the accident, why was the nearest vehicle not picked for request 4 at epoch 4?"
Q0721_p3,19,1,1,MICRO,1,,"What is the reason behind this: Given the accident, why was the nearest vehicle not picked for request 4 at epoch 4?"
Q0721_p4,20,1,1,MICRO,1,,"Could you clarify the dispatch rationale here: Given the accident, why was the nearest vehicle not picked for request 4 at epoch 4?"
Q0851,21,1,1,MICRO,1,,"After the accident, how do V4 and V3 compare on delay risk at request 5?"
Q0851_p1,22,1,1,MICRO,1,,"Can you explain this dispatch decision: After the accident, how do V4 and V3 compare on delay risk at request 5?"
Q0851_p2,23,1,1,MICRO,1,,"In operational terms, after the accident, how do V4 and V3 compare on delay risk at request 5?"
Q0851_p3,24,1,1,MICRO,1,,"What is the reason behind this: After the accident, how do V4 and V3 compare on delay risk at request 5?"
Q0851_p4,25,1,1,MICRO,1,,"Could you clarify the dispatch rationale here: After the accident, how do V4 and V3 compare on delay risk at request 5?"
Q0861,26,1,1,MICRO,1,,Compare V0 and V1 on delay and reward at request 6 after the accident.
Q0861_p1,27,1,1,MICRO,1,,Can you explain this dispatch decision: Compare V0 and V1 on delay and reward at request 6 after the accident.
Q0861_p2,28,1,1,MICRO,1,,"In operational terms, compare V0 and V1 on delay and reward at request 6 after the accident."
Q0861_p3,29,1,1,MICRO,1,,What is the reason behind this: Compare V0 and V1 on delay and reward at request 6 after the accident.
Q0861_p4,30,1,1,MICRO,1,,Could you clarify the dispatch rationale here: Compare V0 and V1 on delay and reward at request 6 after the accident.
Q0871,31,1,1,MICRO,1,,"At request 7 after the accident, how does V1 stack up against V2 on risk?"
Q0871_p1,32,1,1,MICRO,1,,"Can you explain this dispatch decision: At request 7 after the accident, how does V1 stack up against V2 on risk?"
Q0871_p2,33,1,1,MICRO,1,,"In operational terms, at request 7 after the accident, how does V1 stack up against V2 on risk?"
Q0871_p3,34,1,1,MICRO,1,,"What is the reason behind this: At request 7 after the accident, how does V1 stack up against V2 on risk?"
Q0871_p4,35,1,1,MICRO,1,,"Could you clarify the dispatch rationale here: At request 7 after the accident, how does V1 stack up against V2 on risk?"
Q0881,36,1,1,MICRO,1,,"Post-accident, compare V1 and V3 on delay risk at request 8."
Q0881_p1,37,1,1,MICRO,1,,"Can you explain this dispatch decision: Post-accident, compare V1 and V3 on delay risk at request 8."
Q0881_p2,38,1,1,MICRO,1,,"In operational terms, post-accident, compare V1 and V3 on delay risk at request 8."
Q0881_p3,39,1,1,MICRO,1,,"What is the reason behind this: Post-accident, compare V1 and V3 on delay risk at request 8."
Q0881_p4,40,1,1,MICRO,1,,"Could you clarify the dispatch rationale here: Post-accident, compare V1 and V3 on delay risk at request 8."
Q0886,41,1,1,MICRO,1,,"Given the road blockage, how do V0 and V1 compare on reward at request 9?"
Q0886_p1,42,1,1,MICRO,1,,"Can you explain this dispatch decision: Given the road blockage, how do V0 and V1 compare on reward at request 9?"
Q0886_p2,43,1,1,MICRO,1,,"In operational terms, given the road blockage, how do V0 and V1 compare on reward at request 9?"
Q0886_p3,44,1,1,MICRO,1,,"What is the reason behind this: Given the road blockage, how do V0 and V1 compare on reward at request 9?"
Q0886_p4,45,1,1,MICRO,1,,"Could you clarify the dispatch rationale here: Given the road blockage, how do V0 and V1 compare on reward at request 9?"
Q0976,46,1,1,MICRO,1,,Why did the dispatcher assign a more distant van for request 10 after the accident?
Q0976_p1,47,1,1,MICRO,1,,Can you explain this dispatch decision: Why did the dispatcher assign a more distant van for request 10 after the accident?
Q0976_p2,48,1,1,MICRO,1,,"In operational terms, why did the dispatcher assign a more distant van for request 10 after the accident?"
Q0976_p3,49,1,1,MICRO,1,,What is the reason behind this: Why did the dispatcher assign a more distant van for request 10 after the accident?
Q0976_p4,50,1,1,SEQUENCE,1,,Could you clarify the dispatch rationale here: Why did the dispatcher assign a more distant van for request 10 after the accident?
Q0021,51,1,1,MICRO,1,,Why was Vehicle 4 picked over Vehicle 0 at request 1?
Q0021_p1,52,1,1,MICRO,1,,Can you explain this dispatch decision: Why was Vehicle 4 picked over Vehicle 0 at request 1?
Q0021_p2,53,1,1,MICRO,1,,"In operational terms, why was Vehicle 4 picked over Vehicle 0 at request 1?"
Q0021_p3,54,1,1,MICRO,1,,What is the reason behind this: Why was Vehicle 4 picked over Vehicle 0 at request 1?
