id	type_k	base_id	paraphrase_id	scenario	is_adversarial	adversarial_subtype
Q0071	1	Q0071	0	AC	0	
Q0076	1	Q0076	0	AC	0	
Q0096	1	Q0096	0	AC	0	
Q0721	1	Q0721	0	AC	0	
Q0851	1	Q0851	0	AC	0	
Q0861	1	Q0861	0	AC	0	
Q0871	1	Q0871	0	AC	0	
Q0881	1	Q0881	0	AC	0	
Q0886	1	Q0886	0	AC	0	
Q0976	1	Q0976	0	AC	0	
Q0021	1	Q0021	0	CT	0	
Q0036	1	Q0036	0	CT	0	
Q0686	1	Q0686	0	CT	0	
Q0701	1	Q0701	0	CT	0	
Q0811	1	Q0811	0	CT	0	
Q0931	1	Q0931	0	CT	0	
Q0941	1	Q0941	0	CT	0	
Q0956	1	Q0956	0	CT	0	
Q0961	1	Q0961	0	CT	0	
Q1401	1	Q1401	0	CT	0	
Q0101	1	Q0101	0	EV	0	
Q0111	1	Q0111	0	EV	0	
Q0766	1	Q0766	0	EV	0	
Q0786	1	Q0786	0	EV	0	
Q0896	1	Q0896	0	EV	0	
Q0911	1	Q0911	0	EV	0	
Q0916	1	Q0916	0	EV	0	
Q0921	1	Q0921	0	EV	0	
Q0926	1	Q0926	0	EV	0	
Q1041	1	Q1041	0	EV	0	
Q0201	2	Q0201	0	AC	0	
Q0206	2	Q0206	0	AC	0	
Q0211	2	Q0211	0	AC	0	
Q0216	2	Q0216	0	AC	0	
Q0221	2	Q0221	0	AC	0	
Q0226	2	Q0226	0	AC	0	
Q0231	2	Q0231	0	AC	0	
Q0236	2	Q0236	0	AC	0	
Q0241	2	Q0241	0	AC	0	
Q0246	2	Q0246	0	AC	0	
Q0151	2	Q0151	0	CT	0	
Q0156	2	Q0156	0	CT	0	
Q0161	2	Q0161	0	CT	0	
Q0166	2	Q0166	0	CT	0	
Q0171	2	Q0171	0	CT	0	
Q0176	2	Q0176	0	CT	0	
Q0181	2	Q0181	0	CT	0	
Q0186	2	Q0186	0	CT	0	
Q0191	2	Q0191	0	CT	0	
Q0196	2	Q0196	0	CT	0	
Q0251	2	Q0251	0	EV	0	
Q0256	2	Q0256	0	EV	0	
Q0261	2	Q0261	0	EV	0	
Q0266	2	Q0266	0	EV	0	
Q0271	2	Q0271	0	EV	0	
Q0276	2	Q0276	0	EV	0	
Q0281	2	Q0281	0	EV	0	
Q0286	2	Q0286	0	EV	0	
Q0291	2	Q0291	0	EV	0	
Q0296	2	Q0296	0	EV	0	
Q0341	3	Q0341	0	AC	0	
Q0346	3	Q0346	0	AC	0	
Q0351	3	Q0351	0	AC	0	
Q0356	3	Q0356	0	AC	0	
Q0361	3	Q0361	0	AC	0	
Q0366	3	Q0366	0	AC	0	
Q0371	3	Q0371	0	AC	0	
Q0376	3	Q0376	0	AC	0	
Q1411	3	Q1411	0	AC	0	
Q1501	3	Q1501	0	AC	0	
Q0301	3	Q0301	0	CT	0	
Q0306	3	Q0306	0	CT	0	
Q0311	3	Q0311	0	CT	0	
Q0316	3	Q0316	0	CT	0	
Q0321	3	Q0321	0	CT	0	
Q0326	3	Q0326	0	CT	0	
Q0331	3	Q0331	0	CT	0	
Q0336	3	Q0336	0	CT	0	
Q1506	3	Q1506	0	CT	0	
Q1511	3	Q1511	0	CT	0	
Q0381	3	Q0381	0	EV	0	
Q0386	3	Q0386	0	EV	0	
Q0391	3	Q0391	0	EV	0	
Q0396	3	Q0396	0	EV	0	
Q0401	3	Q0401	0	EV	0	
Q0406	3	Q0406	0	EV	0	
Q0411	3	Q0411	0	EV	0	
Q0416	3	Q0416	0	EV	0	
Q1516	3	Q1516	0	EV	0	
Q1521	3	Q1521	0	EV	0	
Q0461	4	Q0461	0	AC	0	
Q0466	4	Q0466	0	AC	0	
Q0471	4	Q0471	0	AC	0	
Q0476	4	Q0476	0	AC	0	
Q0481	4	Q0481	0	AC	0	
Q0486	4	Q0486	0	AC	0	
Q0491	4	Q0491	0	AC	0	
Q0496	4	Q0496	0	AC	0	
Q1386	4	Q1386	0	AC	0	
Q1526	4	Q1526	0	AC	0	
Q0421	4	Q0421	0	CT	0	
Q0426	4	Q0426	0	CT	0	
Q0431	4	Q0431	0	CT	0	
Q0436	4	Q0436	0	CT	0	
Q0441	4	Q0441	0	CT	0	
Q0446	4	Q0446	0	CT	0	
Q0451	4	Q0451	0	CT	0	
Q0456	4	Q0456	0	CT	0	
Q1531	4	Q1531	0	CT	0	
Q1536	4	Q1536	0	CT	0	
Q0501	4	Q0501	0	EV	0	
Q0506	4	Q0506	0	EV	0	
Q0511	4	Q0511	0	EV	0	
Q0516	4	Q0516	0	EV	0	
Q0521	4	Q0521	0	EV	0	
Q0526	4	Q0526	0	EV	0	
Q0531	4	Q0531	0	EV	0	
Q0536	4	Q0536	0	EV	0	
Q1541	4	Q1541	0	EV	0	
Q1546	4	Q1546	0	EV	0	
Q0581	5	Q0581	0	AC	0	
Q0586	5	Q0586	0	AC	0	
Q0591	5	Q0591	0	AC	0	
Q0596	5	Q0596	0	AC	0	
Q0601	5	Q0601	0	AC	0	
Q0606	5	Q0606	0	AC	0	
Q0611	5	Q0611	0	AC	0	
Q0616	5	Q0616	0	AC	0	
Q1551	5	Q1551	0	AC	0	
Q1556	5	Q1556	0	AC	0	
Q0541	5	Q0541	0	CT	0	
Q0546	5	Q0546	0	CT	0	
Q0551	5	Q0551	0	CT	0	
Q0556	5	Q0556	0	CT	0	
Q0561	5	Q0561	0	CT	0	
Q0566	5	Q0566	0	CT	0	
Q0571	5	Q0571	0	CT	0	
Q0576	5	Q0576	0	CT	0	
Q1391	5	Q1391	0	CT	0	
Q1561	5	Q1561	0	CT	0	
Q0621	5	Q0621	0	EV	0	
Q0626	5	Q0626	0	EV	0	
Q0631	5	Q0631	0	EV	0	
Q0636	5	Q0636	0	EV	0	
Q0641	5	Q0641	0	EV	0	
Q0646	5	Q0646	0	EV	0	
Q0651	5	Q0651	0	EV	0	
Q0656	5	Q0656	0	EV	0	
Q1566	5	Q1566	0	EV	0	
Q1571	5	Q1571	0	EV	0	
Q1051	12	Q1051	0	EV	0	
Q1056	12	Q1056	0	EV	0	
Q1061	12	Q1061	0	EV	0	
Q1066	12	Q1066	0	EV	0	
Q1071	12	Q1071	0	EV	0	
Q1076	12	Q1076	0	EV	0	
Q1081	12	Q1081	0	EV	0	
