id	type_k	base_id	paraphrase_id	scenario	is_adversarial	adversarial_subtype
Q0071	1	Q0071	0	AC	0	
Q0071_p1	1	Q0071	1	AC	0	
Q0071_p2	1	Q0071	2	AC	0	
Q0071_p3	1	Q0071	3	AC	0	
Q0071_p4	1	Q0071	4	AC	0	
Q0076	1	Q0076	0	AC	0	
Q0076_p1	1	Q0076	1	AC	0	
Q0076_p2	1	Q0076	2	AC	0	
Q0076_p3	1	Q0076	3	AC	0	
Q0076_p4	1	Q0076	4	AC	0	
Q0096	1	Q0096	0	AC	0	
Q0096_p1	1	Q0096	1	AC	0	
Q0096_p2	1	Q0096	2	AC	0	
Q0096_p3	1	Q0096	3	AC	0	
Q0096_p4	1	Q0096	4	AC	0	
Q0721	1	Q0721	0	AC	0	
Q0721_p1	1	Q0721	1	AC	0	
Q0721_p2	1	Q0721	2	AC	0	
Q0721_p3	1	Q0721	3	AC	0	
Q0721_p4	1	Q0721	4	AC	0	
Q0851	1	Q0851	0	AC	0	
Q0851_p1	1	Q0851	1	AC	0	
Q0851_p2	1	Q0851	2	AC	0	
Q0851_p3	1	Q0851	3	AC	0	
Q0851_p4	1	Q0851	4	AC	0	
Q0861	1	Q0861	0	AC	0	
Q0861_p1	1	Q0861	1	AC	0	
Q0861_p2	1	Q0861	2	AC	0	
Q0861_p3	1	Q0861	3	AC	0	
Q0861_p4	1	Q0861	4	AC	0	
Q0871	1	Q0871	0	AC	0	
Q0871_p1	1	Q0871	1	AC	0	
Q0871_p2	1	Q0871	2	AC	0	
Q0871_p3	1	Q0871	3	AC	0	
Q0871_p4	1	Q0871	4	AC	0	
Q0881	1	Q0881	0	AC	0	
Q0881_p1	1	Q0881	1	AC	0	
Q0881_p2	1	Q0881	2	AC	0	
Q0881_p3	1	Q0881	3	AC	0	
Q0881_p4	1	Q0881	4	AC	0	
Q0886	1	Q0886	0	AC	0	
Q0886_p1	1	Q0886	1	AC	0	
Q0886_p2	1	Q0886	2	AC	0	
Q0886_p3	1	Q0886	3	AC	0	
Q0886_p4	1	Q0886	4	AC	0	
Q0976	1	Q0976	0	AC	0	
Q0976_p1	1	Q0976	1	AC	0	
Q0976_p2	1	Q0976	2	AC	0	
Q0976_p3	1	Q0976	3	AC	0	
Q0976_p4	1	Q0976	4	AC	0	
Q0021	1	Q0021	0	CT	0	
Q0021_p1	1	Q0021	1	CT	0	
Q0021_p2	1	Q0021	2	CT	0	
Q0021_p3	1	Q0021	3	CT	0	
Q0021_p4	1	Q0021	4	CT	0	
Q0036	1	Q0036	0	CT	0	
Q0036_p1	1	Q0036	1	CT	0	
Q0036_p2	1	Q0036	2	CT	0	
Q0036_p3	1	Q0036	3	CT	0	
Q0036_p4	1	Q0036	4	CT	0	
Q0686	1	Q0686	0	CT	0	
